id,callnumber,mainentry,isbn,title,author,placeofpublication,publisher,year,edition,physicaldesc,series,notesarea,subject,addedentry,price,copies,date,note,source
157,297.3 MUH M,,,Mathla' An-Najman (2),Muhammad Ismail Daud al-Fatani,Kelantan,Jabal Maraqy Sdn. Bhd.,2014,Edisi Rumi,"|a viii, 113 p. ; |c 21 cm.",,Contains verses from the Quran.,Worship (Islam) -- Fasting -- Religious aspects -- Islam -- Muslim pilgrims and pilgrimages -- Muslims -- Conduct of life -- Zakat --,Penyusun: Abdul Ghani Jabal Maraqy,SM: RM 8.00 SS: RM 9.00,1,,,Donation
158,297.57 MAN M,,,Penawar Hati,Syeikh Abdul Kadir Al-Mahdili,Kelantan,Jabal Maraqy Sdn. Bhd.,2015,Edisi Semakan (Rumi),"|a x, 127 p. ; |c 26 cm.",,Contains verses from the Quran.,Islam -- Customs and practices -- Religious life -- Islamic -- Muslims -- Conduct of life --,Penterjemah: Abdul Ghani Jabal Maraqy,SM: RM 11.00 SS: RM 13.00,1,,,Donation
159,297.1252 MAS M,,,Minhatul Mughis Fi Ilmi Mushthalah Al-Hadis,Hafiz Hasan al-Mas'udi,Kelantan,Jabal Maraqy Sdn. Bhd.,[2015?],Edisi Rumi,"|a viii, 102 p. ; |c 26 cm.",,Contains verses from the Quran.,"Hadith -- Criticism, interpretation, etc. -- Hadith -- Criticism, Textual --",Penterjemah: Abdul Ghani Jabal Maraqy,SM: RM 10.00 SS: RM 12.00,1,,,Donation
160,297.2041 HAD M,,,Safinatu An-Naja Fi Ilmi Al-Fiqh,As-Syeikh Salim bin Sumair,Kelantan,Jabal Maraqy Sdn. Bhd.,2016,Edisi Rumi 6th ed.,|a 30 p. ; |c 25 cm.,,Contains verses from the Quran. Text in Bahasa Malaysia and Arabic script.,Shafiities -- Islam -- Customs and practices -- Islam -- Doctrines --,Penterjemah: Abdul Ghani Jabal Maraqy,SM: RM 6.00 SS: RM 7.00,1,,,Donation
161,297.2112 SAN M,,,Aqaid Ahli Sunnah Matan Ummi Al-Barahin: Yang dinamakan dengan As-Sanusiah As-Shughra,"Imam Abdullah Muhammad bin Yusof As-Sanusi Al-Hasani ""Rahimahullahu taala""",Kelantan,Jabal Maraqy Sdn. Bhd.,2016,Edisi Rumi,"|a vi, 36 p. ; |c 21 cm.",,,God (Islam) -- Atributes -- Islam -- Doctrines --,,SM: RM 6.00 SS: RM 7.00,1,,,Donation
162,297.8 MAU M,,,Adakah anda mujtahid?,Maulana Husein Abdul Kadir Yusufi,Kelantan,Jabal Maraqy Sdn. Bhd.,[2016?],Edisi Rumi,|a 30 p. ; |c 21 cm.,,,Islamic sects -- Hadith -- Controversial Literature,,SM: RM 5.00 SS: RM 6.00,1,,,Donation
163,,Syeikh Burhanuddin,9789670597188,Taalim Al-Mutaalim Thariqa At-Taallum,Syeikh Burhanuddin (Burhanul Islam) Az-Zarnuji,"Kota Bharu, Kelantan:",Jabal Maraqy Sdn. Bhd.,2016,Edisi Cetakan Rumi,"|a xiv, 166p. ;|c 21 cm.",,Contain verses from the Quran.,Study Skills- Islamic Education- Learning- Islam-,Penterjemah: Abdul Ghani Jabal Maraqy,RM10.00,1,29/6/2021,,Donation
164,,Sheikh Muhammad Saleh,9789670597423,Membicarakan Hukum Tajwid: SIraj Al-Qari,Sheikh Muhammad Saleh bin Zainal & Abidin bin Muhammad Al-Fathani,"Kota Bharu, Kelantan:",Jabal Maraqy Sdn. Bhd.,2016,Edisi Semakan Rumi,"|a xvi, 209p. ;|c 26 cm.",,Contain verses from the Quran.,,Penterjemah: Abdul Ghani Jabal Maraqy,RM24.00,1,29/6/2021,,Donation
165,,Syeikh Muhammad Arsyad Al-Banjari,9789670597300,"Tuhfah Ar Raghibin: Membicarakan Hakikat Iman, Aqidah Yang Benar, Aqidah Yang Sesat, Murtad, Dosa Besar dan Taubat",Syeikh Muhammad Arsyad Al-Banjari,"Kota Bharu, Kelantan:",Jabal Maraqy Sdn. Bhd.,2015,Edisi Rumi,"|a viii, 103p. ;|c 22 cm.",,Contain verses from the Quran.,,,RM9.00,1,29/6/2021,,Donation
166,,Syeikh Mahyudin Achi,9789834330743,Fadhilat Amalan Berdasarkan Hadis,Syeikh Mahyudin Achi,"Kota Bharu, Kelantan:",Jabal Maraqy Sdn. Bhd.,2014,,|a 137p. ;|c 25 cm.,,Mengandungi Ayat-ayat dari Quran.,,Penterjemah: Abdul Ghani Jabal Maraqy,RM9.00,1,29/6/2021,,Donation
167,,Syeikh Muhammad,9789670597355,"Membicarakan Aqidah, Bersuci, Sembahyang, ZIkir, Doa-doa Terpilih: Wisyahulafrah Wa Isbahul Falah",Syeikh Muhammad bin Ismail Daud Al-Pathani,"Kota Bharu, Kelantan:",Jabal Maraqy Sdn. Bhd.,2016,Edisi Rumi,"|a xii, 205p. ;|c 26 cm.",,,,,RM16.00,1,29/6/2021,,Donation
168,,Tok Pulau Manis,9789671110706,Syarah Hikam: Ibnu Athaillah Jilid 2,Tok Pulau Manis,"Kota Bharu, Kelantan:",Jabal Maraqy Sdn. Bhd.,2013,Edisi Rumi,"|a xi, 228p. ;|c 26 cm.",Jilid 2,,,,RM22.00,1,29/6/2021,,Donation
169,QU146.JM2 N976 2016,,9789670769509,Nutrition Research in Malaysia : Selected Bibliography of Published Journal Articles from 2011 to 2014,Malaysia. Kementerian Kesihatan. National Coordinating Committee on Food and Nutrition,Putrajaya :,Technical Working Group on Nutrition Research for National Coordinating Committee on Food and Nutrition,2016,,"|a xiv, 420 p. ; |c 26 cm.",,Includes index.,Nutrition -- Research -- Malaysia -- Bibliography. Food -- Research -- Malaysia -- Bibliography. Food -- Research. Nutrition -- Research. Malaysia.,Malaysia. Kementerian Kesihatan. National Coordinating Committee on Food and Nutrition,,1,12/8/2021,,Donation
170,R611.M2H325 2006,Harun Mat Piah,9679311619,Kitab Tib : Ilmu Perubatan Melayu,Harun Mat Piah,Kuala Lumpur :,Perpustakaan Negara Malaysia,2006,,|a 436 p. : |b ill. (some col.) ; |c 25 cm.,,Mengandungi Indeks. Bibliography: p. 394-397.,"Malays (Asian people) -- Medicine -- Formulae, receipts, prescriptions. Traditional medicine -- Formulae, receipts, prescriptions. Malays (Asian people) -- Medicine. Traditional medicine.",,,1,12/8/2021,,Donation
171,,Rukayah Aman,9789836292391,Tanaman Berkhasiat Ubatan,Rukayah Aman,Kuala Lumpur :,Dewan Bahasa dan Pustaka,2016,,"|a xiii, 157 p. : |b col. ill. ; |c 25 cm.",,Includes bibliographical references (page 143) and index. Text in Malay.,Medicinal plants -- Malaysia. Herbs -- Therapeutic use -- Malaysia. Herbs -- Therapeutic use. Medicinal plants. Malaysia.,,,1,12/8/2021,,Donation
172,394.269595 MER M 394.269595 MER D,,978983000000,Merdeka : Wacana Pembangunan dan Kedaulatan Negara,,Universiti Utara Malaysia (UUM) :,Institut Pemikiran Tun Dr. Mahathir Mohamad,c2007,,"|a ix, 179 p. ; |c 25 cm.",,,"Mahathir Mohamad, -- Tun, -- 1925 -- Speeches -- Independence Day (Malaysia) -- Anniversaries, etc. -- Speeches, addresses, etc. -- Malaysia -- Anniversaries, etc. --","Mustapa Kassim, compiler. Abdul Rahman Abdul Aziz, compiler. Muhamed Nor Azman Nordin, complier. Hasliza Shafie, compiler.",,1,,,Waqaf Dato Manaf
173,352.23809595 KELM,,9789830000000,Kelangsungan Pentadbiran,,Universiti Utara Malaysia (UUM) :,Institut Pemikiran Tun Dr. Mahathir Mohamad,2007,,|a 224 ms. : |b ill ; |c 25 cm.,,,"Public administration -- Malaysia -- Prime ministers -- Malaysia -- Speeches, addresses, etc. -- Malaysia -- Politics and government --",Mustapa Kassim Abdul Rahman Abdul Aziz Muhamed Nor Azman Nordin Hasliza Shafie,,1,,,Waqaf Dato Manaf
174,297.27 WZW M,Datuk Wan Zahidi Wan The,97809700000000,Melihat dari Jendela Islam,Datuk Wan Zahidi Wan Teh,Kuala Lumpur :,"Pejabat Mufti Wilayah Persekutuan, Jabatan Perdana Menteri",2014,,"|a xii, 438 p. : |b ill, photographs ; |c 24 cm.",,Contains berses from the Qur'an,Islam -- Social aspects -- Islam and social problems --,"Pejabat Mufti Wilayah Persekutuan, Jabatan Perdana Menteri, Malaysia",,1,,,Waqaf Dato Manaf
175,297.28 ISL M 297.28 ISL D,,98310003822 9831000161 (pbk.),Islam and Confusiamism: A Civilizational Dialogue,,Kuala Lumpur :,Penerbit Universiti Malaya,1997,,"|a viii, 233p. ; |c 22 cm.",University of Malaya civilizational dialogues series,,"Islam -- Relations -- Confucianism -- Islamic civilization -- Confucianism -- Philosophy, Islamic -- Philosophy, Chinese -- China -- Civilization --",Osman Bakar Gek Nai Cheng,,1,,,Waqaf Dato Manaf
176,DS597.215 .D87 2010,"Dusuki Ahmad, Dato'",9789680000000,Autobiografi Dato' Dusuki Ahmad dari Pondok ke Parlimen,Dato' Dusuki Ahmad,Kelantan :,Yayasan Darul Hanan,2010,,"|a xii., 370p. |b ill. ; |c 24 cm.",,Mengandungi Indeks,,,,1,9/7/2021,,Waqaf Dato Manaf
177,DS597.215 .N35 2009,,9789830000000,Najib Tun Razak : Pewaris Kepimpinan Pemacu Perubahan = Inheriting a Legacy Fast Tracking Change,,"Mid Valley, KL :",Mediabiz Creative,2009,,"|a viii., 313p. |b col., ill. ; |c 22 cm.",,,,Mediabiz Creative,,1,9/7/2021,,Waqaf Dato Manaf
178,BP135. A122 Z85 2009,"Zulkifli Mohamad Al-Bakri, Datuk Seri, Dr.",9789830000000,Irsyad Al-Qari' Bi Syahri Mukhtasar Sahih Al-Bukhari Jilid 1,Datuk Seri Dr. Zulkifli Mohamad Al-Bakri,Putrajaya :,Jabatan Kemajuan Islam Malaysia,2013,,"|a iv., 455p. |b ill. ; |c 21 cm.",,,,,,1,9/7/2021,,Waqaf Dato Manaf
179,,,,??? ????? ??? ??????Penjelasan Shafia Ibn Al-Hajeb,Sheikh Radhi Al-Din Muhammad Bin Al-Hassan Al-Istrabadi Alnahwi??? ??? ????? ???? ?? ????? ??????????? ??????,"Beirut, Lebanon",??? ????? ???????,1975,j1,,,????? ??????? ( ?????),,,,,,,Waqaf Dato Manaf
180,,,,??? ????? ??? ?????? Penjelasan Shafia Ibn Al-Hajeb,??? ??? ????? ???? ?? ????? ??????????? ?????? Sheikh Radhi Al-Din Muhammad Bin Al-Hassan Al-Istrabadi Alnahwi,"Beirut, Lebanon",??? ????? ???????,1975,j2,,,????? ??????? ( ?????),,,,,,,Waqaf Dato Manaf
181,,,,??? ????? ??? ?????? Penjelasan Shafia Ibn Al-Hajeb,??? ??? ????? ???? ?? ????? ??????????? ?????? Sheikh Radhi Al-Din Muhammad Bin Al-Hassan Al-Istrabadi Alnahwi,"Beirut, Lebanon",??? ????? ???????,1975,j3,,,????? ??????? ( ?????),,,,,,,Waqaf Dato Manaf
182,,,,??? ????? ??? ?????? Penjelasan Shafia Ibn Al-Hajeb,??? ??? ????? ???? ?? ????? ??????????? ?????? Sheikh Radhi Al-Din Muhammad Bin Al-Hassan Al-Istrabadi Alnahwi,"Beirut, Lebanon",??? ????? ???????,1975,j4,,,????? ??????? ( ?????),,,,,,,Waqaf Dato Manaf
183,,,,?????? ??????? ?????? ??? ?????? ??????? ?? ???? Biografi Nabi Imam Abu Al-Fida Ismail bin Kathir,????? ??? ??????Mustafa Abdel Wahed,"Beirut, Lebanon",??? ????????,1971,j1,,,??? ??? ????,,,,,,,Waqaf Dato Manaf
184,,,,?????? ??????? ?????? ??? ?????? ??????? ?? ???? Biografi Nabi Imam Abu Al-Fida Ismail bin Kathir,????? ??? ??????Mustafa Abdel Wahed,"Beirut, Lebanon",??? ????????,1976,j3,,,??? ??? ????,,,,,,,Waqaf Dato Manaf
185,,,,?????? ??????? ?????? ??? ?????? ??????? ?? ???? Biografi Nabi Imam Abu Al-Fida Ismail bin Kathir,????? ??? ??????Mustafa Abdel Wahed,"Beirut, Lebanon",??? ????????,1976,j4,,,??? ??? ????,,,,,,,Waqaf Dato Manaf
186,,,,?????? Al-makna,???? ?????Ibn Qudamah,???????,??? ??????? ? ????? ?????????????????,1992,j15 e2,,,?????,,,,,,,Waqaf Dato Manaf
187,,,,"??? ??????? ?? ???????? ??? ??????? ??? ????? ??????? Neil Al-Awtar dari hadis-hadis tuan orang baik, menjelaskan pemilihan berita","????? ?????? ??????? ??????? ??????? ???? ???? ???????????? ???? ?? ??? ??? ???? ???????? Syeikh Imam Mujtahid, ulama Al-Rabbani, hakim hakim Qatar, Muhammad bin Ali bin Muhammad Al-Shakwan",,??? ??????,,j1,,,,,,,,,,Waqaf Dato Manaf
188,,,,??? ?????? ?????? ?? ??? ????? ????? ?? ????? ????? Koleksi ilmu dan hikmah dalam menjelaskan lima puluh hadis dari pengumpulan perkataan,"?????? ?????? ?????? ??? ????? ??? ????? ??? ?????? ?? ???? ????? ???????? ?? ??????? ?????? ???? ???Ahli fahaman Imam al-Hafiz Zain al-Din Abi al-Faraj Abd al-Rahman ibn Shihab al-Din al-Baghdadi dan kemudian al-Dimashqi, terkenal dengan Ibn Rajab","Beirut, Lebanon",Al-Resalah Publishing House,1997,e7,,,????,,,,,,,Waqaf Dato Manaf
189,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e1*,,,,,,,,,,Waqaf Dato Manaf
190,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e2,,,,,,,,,,Waqaf Dato Manaf
191,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e3,,,,,,,,,,Waqaf Dato Manaf
192,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e4,,,,,,,,,,Waqaf Dato Manaf
193,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e5,,,,,,,,,,Waqaf Dato Manaf
194,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e6,,,,,,,,,,Waqaf Dato Manaf
195,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e7,,,,,,,,,,Waqaf Dato Manaf
196,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e8,,,,,,,,,,Waqaf Dato Manaf
197,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e9,,,,,,,,,,Waqaf Dato Manaf
198,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e10,,,,,,,,,,Waqaf Dato Manaf
199,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e11,,,,,,,,,,Waqaf Dato Manaf
200,,,,?????? ?? ??????? Sempurna pada sejarah,??? ??????Ibn al-Atheer,"Beirut, Lebanon",??? ????? ???????,1966,e12,,,,,,,,,,Waqaf Dato Manaf
201,,,,????? ?????? ?? ????? ????? ???????? Pemberitahuan wanita pada dunia arab dan Islam,??? ??? ????? Umar Ridha Kahalah,"Beirut, Lebanon",????? ???????,1982,j1,,,???????,????? ??????,,,,,,Waqaf Dato Manaf
202,,,,????? ?????? ?? ????? ????? ???????? Pemberitahuan wanita pada dunia arab dan Islam,??? ??? ????? Umar Ridha Kahalah,"Beirut, Lebanon",????? ???????,1982,j2,,,???????,????? ??????,,,,,,Waqaf Dato Manaf
203,,,,????? ?????? ?? ????? ????? ???????? Pemberitahuan wanita pada dunia arab dan Islam,??? ??? ????? Umar Ridha Kahalah,"Beirut, Lebanon",????? ???????,1982,j3,,,???????,????? ??????,,,,,,Waqaf Dato Manaf
204,,,,????? ?????? ?? ????? ????? ???????? Pemberitahuan wanita pada dunia arab dan Islam,??? ??? ????? Umar Ridha Kahalah,"Beirut, Lebanon",????? ???????,1982,j4,,,???????,????? ??????,,,,,,Waqaf Dato Manaf
205,,,,????? ?????? ?? ????? ????? ???????? Pemberitahuan wanita pada dunia arab dan Islam,??? ??? ????? Umar Ridha Kahalah,"Beirut, Lebanon",????? ???????,1982,j5,,,???????,????? ??????,,,,,,Waqaf Dato Manaf
206,,,,??????? ???????? ?? ????? ????? ??? ???????? Persamaan dan analogi dalam peraturan dan cabang fekah Syafi'i,?????? ???? ????? ??? ?????? ??????? Imam Jalal al-Din Abd al-Rahman al-Suyuti,"Beirut, Lebanon",??? ????? ???????,1983,e1,,,,,,,,,,Waqaf Dato Manaf
207,,,,???? ??????? ??????? Kamus Peribahasa Arab,"?. ????? ??????? ????? ???? ????? ??? ??????? ????? ???? ?????? Dr.. Mahmoud Ismail Sinni, Nassef Mustafa Abdel Aziz, Mustafa Ahmed Suleiman","Beirut, Lebanon",????? ?????,1992,e1,,,kamus kata-kata hikmah arab,,,,,,,Waqaf Dato Manaf
208,,,,?????? ????? ??? ?????? Ulama terkenal Najd dan lain-lain,??? ?????? ?? ??? ?????? ?? ??? ???? ?? ????? Abdul Rahman bin Abdul Latif bin Abdullah Al Sheikh,,??? ??????? ????? ???????? ??????,1394,e2,,,,,,,,,,Waqaf Dato Manaf
209,,,,???? ?? ????? ????? ?????? Penyelidikan mengenai isu perundangan kontemporari,???? ??? ???????? Muhammad Taqi Usmani,????,??? ?????,1998,e1,,,membincangkan isu-isu fiqh,,,,,,,Waqaf Dato Manaf
210,,,,"??????? ?????? ????? ?????? ?????? ?????? Tafsiran Ringkas, Kamus dan Makna Al-Quran",???? ??????? Wahba Al-Zuhaili,????-?????,??? ????? ???????,1995,e1,,,tafsir al-quran (Bahasa Arab),,,,,,,Waqaf Dato Manaf
211,MJM 001,,,????? ??????? ????? ??????? Perbendaharaan rahsia mulia,??????? ????? ???? ??? ??????? Syed Mohamed Haqqi Al-Nazly,?????????,????? ???????? ????? ???????,,,,,,,,,,,,Waqaf Dato Manaf
212,,,,"???? ??????? ??????? ?? ????? ???????? ???? ???????? Kamus tatabahasa Arab dalam lampiran tatabahasa, infleksi dan ejaan",??? ????? ????? Abdul Ghani Al-Daqer,????,??? ?????,1993,e2,,,sorof (Bahasa Arab),,,,,,,Waqaf Dato Manaf
213,,,,??????? ?????? Aplikasi morfologi,??????? ???? ??????? Dr. Abdo Al-Rajhi,Beirut,??? ?????? ???????,1983,,,,sorof (Bahasa Arab),,,,,,,Waqaf Dato Manaf
214,,,,????? ??????? ?? ??????? ??????? Kaedah kehakiman dalam politik syarak,??? ??? ??????? Ibn Qayyim al-Jawziyya,???????,????? ??????,1350,,,,,,,,,,,Waqaf Dato Manaf
215,,,,"?????? ?? ????? ????????? ?????? ??????? ??????? ??????? Orang tengah dalam sistem Islam, episod tiga, Islam dan negara",??????? ????? ???? ????? alduktur alqutb alqutb tablia,,,1982,e1,,,,,,,,,,Waqaf Dato Manaf
216,,,,??? ?????? Cerita Al-Quran,,Beirut ?????,??? ?????,,,,,,,,,,,,Waqaf Dato Manaf
217,,,,??????? (al-iman),Syeikh Islam Ibn Timiyah ??? ??????? ??? ?????,Beirut ?????,?????? ????????,1401,e3,,,,,,,,,,Waqaf Dato Manaf
218,FQH 001 1,,,?????? ?????? ????? pintu masuk undang-undang am,Mustofa Ahmad Al-Zarqa' ????? ???? ???????,Damsyiq ????,??? ?????,1968,j1 e3,,,menceritakan tentang undang-undang (fiqh),,,,,,,Waqaf Dato Manaf
219,,,,???? ??? ???? Biografi Ibn Hisyam,Abdul Salam Harun ??? ?????? ?????,Beirut ?????,??? ??????? ?????? ??????,,,,,,,,,,,,Waqaf Dato Manaf
220,,,,?????? ?????? ?????? ??????? Pendekatan Kinetik Biografi Nabi,???? ???? ??????? Munir Muhammad Alghadban,Jordan,????? ???? ??????,1987,e3,,,,,,,,,,Waqaf Dato Manaf
221,,,,?? ??? ??????? ????? ?????? Yang Membimbing Fatwa Kontemporari Islam,??????? ???? ???????? Yusof Al-Qaradawi,Beirut ?????,????? ??????? ?????? -?????? ?????? ???????? ??????? ??????,1993,j2,,,,Islamic Law-- Islamic Fatwa,,,,,,Waqaf Dato Manaf
222,,,,??????? ??????? Kaedah Fiqh,??? ???? ?????? Ali Ahmad Al-Nadawi,????Damsyiq,??? ?????,1994,e3,,,,,,,,,,Waqaf Dato Manaf
223,,,,??????? ???????? ????? ??????? Kaedah Asas Bahasa Arab,Syed Ahmad Al-Hasyimi ????? ???? ???????,Beirut ?????,??? ????? ???????,,,,,Kaedah Bahasa Arab,,,,,,,Waqaf Dato Manaf
224,,,,????? ?????? ?????? ?????? Hukum wanita dan rumah muslim,??? ?????? ????? Abdul Karim Zaidan,Beirut ?????,????? ???????,1994,e2,,,mengisahkan kisah wanita,,,,,,,Waqaf Dato Manaf
225,,,,????? ??????? ?? ?? ???? ????????Kecukupan orang-orang terpilih pada penyelesaian yang sangat pendek,??? ????? ??? ??? ?? ??????? ?????? Taqiuddin Abu Bakar Alhasini Alhasoni,Beirut ?????,??? ???????,1995,e1,,,ibadah,,,,,,,Waqaf Dato Manaf
226,,,,??? ??? ???? ???? ???? ???? ?????? ?????? ??? ??? ???? Penjelasan Ibn Aqil dan bersamanya buku Hibah al-Jalil dengan penyelidikan Sharh Ibn Aqil,??? ???? ?? ???? ??????? ???? ?????Abdullah bin Aqeel Al-Aqili Baha Al-Din,Beirut ?????,??????? ???????,1993,j1,,,,,,,,,,Waqaf Dato Manaf
227,,,,????? ?????? Al-Nahu Al-Syafi,????? ????? ??????Mahmoud Hosseini Magalsa,???? Oman,??? ??????,1991,e1,,,kaedah nahu bahasa arab,,,,,,,Waqaf Dato Manaf
228,,,,???? ??? ??????? ???????? ?? ?????? ?????? ?? ??? ????? ??? ????? ???????? ?? ??????? Penjelasan Sahih Akidah Tah-Tahawiyah atau Pendekatan yang Tepat dalam Memahami Akidah Ahl al-Sunnah wal-Jama`ah dengan semakan,??? ?? ??? ?????? ?????? ??????? ??????? Hassan bin Ali Al-Saqqaf Al-Qurashi Al-Hashimi Al-Husseini,?????? Jordan,??? ?????? ??????,1998,e2,,,,,,,,,,Waqaf Dato Manaf
229,,,,????? ????? ?? ??? ????? Membangunkan tekad dalam menjelaskan keputusan,Ibn Ajybh Alhasan,Beirut ?????,??????? ????????,1988,,,,,,,,,,,Waqaf Dato Manaf
230,,,,??? ?????? Fiqh Alsirah,???? ??????? Muhammad Al Ghazali,Beirut ?????,??? ??????? ?????? ??????,,,,,,,,,,,,Waqaf Dato Manaf
231,,,,????? ??????? ????????? ???????? ??????? ??????? Tujuan undang-undang Islam dan hubungannya dengan bukti undang-undang,???? ??? ?? ???? ?? ????? ?????? Muhammad Saad bin Ahmed bin Masoud Al-Youbi,??????? ??????? ????????Arab Saudi,??? ?????? ????? ????????,1998,e1,,,,,,,,,,Waqaf Dato Manaf
232,,,,??????? ?????? Aplikasi tatabahasa,???? ???????,Beirut ?????,??? ?????? ???????,1988,,,,,,,,,,,Waqaf Dato Manaf
233,,,,??? ??????? ?????? ?????? ??????? Matahari Pengetahuan Besar dan Taif Al Awarif,?????? ???? ?? ??? ?????? Imam Ahmad bin Ali Al-Buni,Indonesia,????? ????? ? ????? ??????,1970,j1,,,,,,,,,,Waqaf Dato Manaf
234,,,,??????? ?? ??? ????? Islam pada zaman ini,???? ???? ???????? Mohamed Ahmed Al-Ghamrawi,,??? ????? ???????,,,,,,,,,,,,Waqaf Dato Manaf
235,,,,???? ??? ?????? ???? ?????? ??????? Gamal Abdul Naseer,??? ?????? ????? ?????? Abdul Kadir Yasin,????-???????Damsyik-Kaherah,??? ?????? ??????,2008,e1,,,kisah hidup Gamal Alnaseer,,,,,,,Waqaf Dato Manaf
236,,,,??? ??????? ??????? Penjelasan mengenai peraturan perundangan,????? ???? ????? ???? ?????? Sheikh Ahmed Sheikh Mohammed Al-Zarqa,???? Damsyik,??? ?????,1989,j2,,,,,,,,,,Waqaf Dato Manaf
237,,,,??????? ?????? ?? ??????? ???????? ??????? Altafsir Almunir pada akidah dan syariah serta kaedahnya,???? ??????? Wahbah Al-Zuhayli,???? Damsyik,??? ?????,1991,e1,,,,,,,,,,Waqaf Dato Manaf
238,,,,???? ??????? ?? ????? ???? ??????? Kitab Penjelasan mengenai Rukun Haji dan Umrah,??? ?????? ???? ???? ????? Abdul Fattah Hussein Rawa Al-Makki,??? ??????? Mekkah,??????? ?????????,1995,e3,,,haji dan umrah,,,,,,,Waqaf Dato Manaf
239,,,,?????? ??? ????? ?????? pintu masuk ke dalam ilmu dakwah,???? ??? ????? ????????? Muhammad Abu Alfath Albayanuni,?????,????? ???????,1995,e3,,,,,,,,,,Waqaf Dato Manaf
240,,,,?????? ?????? ????? ??????? Prinsip umum perundangan perbandingan,???? ??? ?????? Muhammad Taqiul Hakim,,??? ??????? ??????? ?????? ????????,1979,e2,,,,,,,,,,Waqaf Dato Manaf
241,,,,??? ????? fiqh alsunnah,????? ????Al Sayyid Sabiq,??????? Kaherah,????? ??? ??????,,j1,,,ibadah,,,,,,,Waqaf Dato Manaf
242,,,,??? ??????? ????? ?????? Fatwa-fatwa Kontemporari Huda Islam,???? ???????? Yousuf Al Qardawi,?????? Quwait,??? ????? ????? ????????,1987,e3,,,,,,,,,,Waqaf Dato Manaf
243,,,,?????? ??? ?????? ???????Perbezaan antara makhluk dan Pencipta,??? ?????? ???? ?? ????,????,??? ???? ?????,1998,e1,,,,,,,,,,Waqaf Dato Manaf
244,,,,??? ?????????Nabi umat manusia,???? ???? Ahmad Husain,?????-???????,??? ??????,1980,e1,,,,,,,,,,Waqaf Dato Manaf
245,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j1,,,,,,,,,,Waqaf Dato Manaf
246,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j2,,,,,,,,,,Waqaf Dato Manaf
247,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j3,,,,,,,,,,Waqaf Dato Manaf
248,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j4,,,,,,,,,,Waqaf Dato Manaf
249,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j5,,,,,,,,,,Waqaf Dato Manaf
250,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j6,,,,,,,,,,Waqaf Dato Manaf
251,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j7,,,,,,,,,,Waqaf Dato Manaf
252,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j9,,,,,,,,,,Waqaf Dato Manaf
253,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j10,,,,,,,,,,Waqaf Dato Manaf
254,,,,????? ???????Encyclopedie Arabic,?????? ???? ???????? Tuan Boutros Al-Bustani,Beirut-Lebanon,??? ???????,,j11,,,,,,,,,,Waqaf Dato Manaf
